,Unnamed: 0_x,Provider ID,Cleanliness,Nurse_com,Doc_com,Staff_responsiveness,Pain_management,Comm_medicine,Discharge_info,Care_transition,Overall_Hos_Rating,Quietness,Recomm_hos,Summary_star,Hospital Name_x,Address_x,City_x,State_x,County Name_x,Unnamed: 0_y,Hospital Name_y,Address_y,City_y,State_y,ZIP Code,County Name_y,Phone Number,Hospital Type,Hospital Ownership
10,10,50024,2,2,1,2,3,2,2,2,2,3,2,2,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,SAN DIEGO,270,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,SAN DIEGO,6194704321,Acute Care Hospitals,Proprietary
11,11,50025,2,3,3,3,3,3,4,4,4,2,4,3,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,SAN DIEGO,271,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,SAN DIEGO,6195436222,Acute Care Hospitals,Voluntary non-profit - Other
12,12,50026,3,3,3,3,4,3,4,4,4,2,4,3,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,SAN DIEGO,272,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,SAN DIEGO,6194650711,Acute Care Hospitals,Government - Hospital District or Authority
13,13,50028,3,4,3,4,4,2,3,4,3,2,3,3,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,HUMBOLDT,273,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,HUMBOLDT,7078223621,Acute Care Hospitals,Proprietary
14,14,50030,1,2,1,1,2,1,2,1,1,1,1,1,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,BUTTE,274,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,BUTTE,5305338500,Acute Care Hospitals,Voluntary non-profit - Private
15,15,50036,3,2,2,2,3,3,2,2,3,2,3,2,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST,BAKERSFIELD,CA,KERN,275,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST,BAKERSFIELD,CA,93301,KERN,6613271792,Acute Care Hospitals,Voluntary non-profit - Private
16,16,50038,1,2,3,2,3,2,2,2,2,1,2,2,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,SANTA CLARA,276,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,SANTA CLARA,4088855000,Acute Care Hospitals,Government - Local
17,17,50039,3,4,3,4,4,4,4,4,5,3,4,4,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,BUTTE,277,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,BUTTE,5303327300,Acute Care Hospitals,Voluntary non-profit - Private
18,18,50040,2,3,4,2,4,3,3,4,4,1,4,3,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,LOS ANGELES,278,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,LOS ANGELES,8183641555,Acute Care Hospitals,Voluntary non-profit - Other
19,19,50042,3,4,3,4,4,4,3,4,3,1,3,3,ST ELIZABETH COMMUNITY HOSPITAL,2550 SISTER MARY COLUMBA DRIVE,RED BLUFF,CA,TEHAMA,279,ST ELIZABETH COMMUNITY HOSPITAL,2550 SISTER MARY COLUMBA DRIVE,RED BLUFF,CA,96080,TEHAMA,5305298012,Acute Care Hospitals,Voluntary non-profit - Church
20,20,50043,2,2,3,2,3,3,3,3,3,3,4,3,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,CA,ALAMEDA,280,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,CA,94609,ALAMEDA,5106554000,Acute Care Hospitals,Voluntary non-profit - Private
21,21,50045,3,2,2,2,3,3,2,4,2,1,2,2,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,EL CENTRO,CA,IMPERIAL,281,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,EL CENTRO,CA,92243,IMPERIAL,7603397100,Acute Care Hospitals,Government - Local
22,22,50047,2,2,3,3,3,2,2,3,3,1,3,3,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,2333 BUCHANAN STREET,SAN FRANCISCO,CA,SAN FRANCISCO,282,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,2333 BUCHANAN STREET,SAN FRANCISCO,CA,94115,SAN FRANCISCO,4156006000,Acute Care Hospitals,Voluntary non-profit - Private
23,23,50054,3,2,1,2,3,2,3,2,2,1,2,2,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,RIVERSIDE,283,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Acute Care Hospitals,Government - Hospital District or Authority
24,24,50055,2,2,3,2,2,2,3,3,2,2,2,2,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,SAN FRANCISCO,284,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Acute Care Hospitals,Voluntary non-profit - Church
25,25,50056,1,2,1,1,2,2,1,1,1,1,1,1,ANTELOPE VALLEY HOSPITAL,1600 W AVE J,LANCASTER,CA,LOS ANGELES,285,ANTELOPE VALLEY HOSPITAL,1600 W AVE J,LANCASTER,CA,93534,LOS ANGELES,6619495000,Acute Care Hospitals,Government - Hospital District or Authority
26,26,50057,2,3,3,3,3,3,3,2,3,2,3,3,KAWEAH DELTA MEDICAL CENTER,400 W MINERAL KING AVE,VISALIA,CA,TULARE,286,KAWEAH DELTA MEDICAL CENTER,400 W MINERAL KING AVE,VISALIA,CA,93291,TULARE,5596242000,Acute Care Hospitals,Government - Hospital District or Authority
27,27,50058,2,2,3,2,3,3,3,4,3,2,2,3,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,GLENDALE,CA,LOS ANGELES,287,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,GLENDALE,CA,91204,LOS ANGELES,8185021900,Acute Care Hospitals,Voluntary non-profit - Private
28,28,50060,2,3,3,2,3,3,4,2,3,2,3,3,COMMUNITY REGIONAL MEDICAL CENTER,2823 FRESNO STREET,FRESNO,CA,FRESNO,288,COMMUNITY REGIONAL MEDICAL CENTER,2823 FRESNO STREET,FRESNO,CA,93721,FRESNO,5594596000,Acute Care Hospitals,Voluntary non-profit - Private
29,29,50063,1,1,1,1,1,2,1,2,1,1,1,1,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,CA,LOS ANGELES,289,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,CA,90027,LOS ANGELES,2134133000,Acute Care Hospitals,Proprietary
30,30,50067,3,2,1,3,2,1,3,3,2,1,2,2,OAK VALLEY HOSPITAL DISTRICT,350 S OAK AVE,OAKDALE,CA,STANISLAUS,290,OAK VALLEY HOSPITAL DISTRICT,350 S OAK AVE,OAKDALE,CA,95361,STANISLAUS,2098473011,Acute Care Hospitals,Government - Hospital District or Authority
31,31,50069,3,4,3,3,4,4,4,4,5,3,4,4,ST JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,ORANGE,291,ST JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,92868,ORANGE,7146339111,Acute Care Hospitals,Voluntary non-profit - Church
32,32,50070,2,3,4,3,4,2,3,4,3,1,4,3,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,SAN MATEO,292,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,6507423200,Acute Care Hospitals,Voluntary non-profit - Private
33,33,50071,3,3,4,2,4,3,3,4,4,2,4,3,KAISER FOUNDATION HOSPITAL-SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,SANTA CLARA,293,KAISER FOUNDATION HOSPITAL-SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,SANTA CLARA,4082366400,Acute Care Hospitals,Voluntary non-profit - Other
34,34,50072,3,3,3,2,4,3,3,3,3,1,4,3,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 S MAIN STREET,WALNUT CREEK,CA,CONTRA COSTA,294,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 S MAIN STREET,WALNUT CREEK,CA,94596,CONTRA COSTA,9252954000,Acute Care Hospitals,Voluntary non-profit - Other
35,35,50073,3,3,4,2,3,3,4,4,3,2,4,3,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,SOLANO,295,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,94589,SOLANO,7076511000,Acute Care Hospitals,Voluntary non-profit - Other
36,36,50075,2,2,3,2,3,2,3,3,3,2,4,3,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 W MACARTHUR BOULEVARD,OAKLAND,CA,ALAMEDA,296,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 W MACARTHUR BOULEVARD,OAKLAND,CA,94611,ALAMEDA,5107521000,Acute Care Hospitals,Voluntary non-profit - Other
37,37,50076,2,3,3,3,4,3,3,4,3,1,4,3,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,SAN FRANCISCO,CA,SAN FRANCISCO,297,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,SAN FRANCISCO,CA,94115,SAN FRANCISCO,4158332646,Acute Care Hospitals,Voluntary non-profit - Other
38,38,50077,2,2,3,2,3,2,2,3,2,1,3,2,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,SAN DIEGO,298,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,SAN DIEGO,6192948111,Acute Care Hospitals,Voluntary non-profit - Private
39,39,50078,3,4,3,3,3,3,3,4,3,2,3,3,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,LOS ANGELES,299,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,90732,LOS ANGELES,3108323311,Acute Care Hospitals,Voluntary non-profit - Private
40,40,50082,2,3,3,2,3,2,3,3,3,2,3,3,ST JOHNS REGIONAL MEDICAL CENTER,1600 N ROSE AVE,OXNARD,CA,VENTURA,300,ST JOHNS REGIONAL MEDICAL CENTER,1600 N ROSE AVE,OXNARD,CA,93030,VENTURA,8059882500,Acute Care Hospitals,Voluntary non-profit - Private
41,41,50084,1,2,2,2,3,2,3,3,2,1,2,2,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 N CALIFORNIA ST,STOCKTON,CA,SAN JOAQUIN,301,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 N CALIFORNIA ST,STOCKTON,CA,95204,SAN JOAQUIN,2099432000,Acute Care Hospitals,Voluntary non-profit - Church
42,42,50089,1,2,2,2,3,4,2,3,2,2,2,2,COMMUNITY HOSPITAL OF SAN BERNARDINO,1805 MEDICAL CENTER DRIVE,SAN BERNARDINO,CA,SAN BERNARDINO,302,COMMUNITY HOSPITAL OF SAN BERNARDINO,1805 MEDICAL CENTER DRIVE,SAN BERNARDINO,CA,92411,SAN BERNARDINO,9098876333,Acute Care Hospitals,Voluntary non-profit - Private
43,43,50090,3,3,3,4,3,2,4,2,3,3,3,3,SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,SONOMA,CA,SONOMA,303,SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,SONOMA,CA,95476,SONOMA,7079355000,Acute Care Hospitals,Government - Hospital District or Authority
44,44,50091,2,2,1,2,2,2,2,1,2,1,2,2,COMMUNITY HOSPITAL OF HUNTINGTON PARK,2623 E SLAUSON AVE,HUNTINGTON PARK,CA,LOS ANGELES,304,COMMUNITY HOSPITAL OF HUNTINGTON PARK,2623 E SLAUSON AVE,HUNTINGTON PARK,CA,90255,LOS ANGELES,3235831931,Acute Care Hospitals,Proprietary
45,45,50093,2,2,2,2,3,2,2,2,3,2,3,2,SAINT AGNES MEDICAL CENTER,1303 E HERNDON AVE,FRESNO,CA,FRESNO,305,SAINT AGNES MEDICAL CENTER,1303 E HERNDON AVE,FRESNO,CA,93710,FRESNO,5594503000,Acute Care Hospitals,Voluntary non-profit - Church
46,46,50096,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"WEST COVINA MEDICAL CENTER, INC",725 S ORANGE AVE,WEST COVINA,CA,LOS ANGELES,306,"WEST COVINA MEDICAL CENTER, INC",725 S ORANGE AVE,WEST COVINA,CA,91790,LOS ANGELES,6263388481,Acute Care Hospitals,Proprietary
47,47,50099,2,3,3,2,4,3,3,2,3,1,3,3,SAN ANTONIO REGIONAL HOSPITAL,999 SAN BERNARDINO ROAD,UPLAND,CA,SAN BERNARDINO,307,SAN ANTONIO REGIONAL HOSPITAL,999 SAN BERNARDINO ROAD,UPLAND,CA,91786,SAN BERNARDINO,7149852811,Acute Care Hospitals,Voluntary non-profit - Other
48,48,50100,3,4,3,4,4,3,4,4,5,4,5,4,SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,CA,SAN DIEGO,308,SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,CA,92123,SAN DIEGO,8589393400,Acute Care Hospitals,Voluntary non-profit - Other
49,49,50101,2,3,2,2,3,3,3,2,2,2,2,2,SUTTER SOLANO MEDICAL CENTER,300 HOSPITAL DR,VALLEJO,CA,SOLANO,309,SUTTER SOLANO MEDICAL CENTER,300 HOSPITAL DR,VALLEJO,CA,94589,SOLANO,7075545280,Acute Care Hospitals,Voluntary non-profit - Private
50,50,50102,1,2,1,1,2,1,2,2,1,1,1,1,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,3865 JACKSON STREET,RIVERSIDE,CA,RIVERSIDE,310,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,3865 JACKSON STREET,RIVERSIDE,CA,92503,RIVERSIDE,9516882211,Acute Care Hospitals,Voluntary non-profit - Private
51,51,50103,2,3,3,2,3,2,3,2,4,2,3,3,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,LOS ANGELES,311,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Acute Care Hospitals,Voluntary non-profit - Church
52,52,50104,1,2,1,1,2,2,1,2,1,2,2,2,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,LOS ANGELES,312,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,90262,LOS ANGELES,3109008900,Acute Care Hospitals,Voluntary non-profit - Church
53,53,50107,3,3,3,3,3,4,4,4,3,3,4,3,MARIAN REGIONAL MEDICAL CENTER,1400 E CHURCH ST,SANTA MARIA,CA,SANTA BARBARA,313,MARIAN REGIONAL MEDICAL CENTER,1400 E CHURCH ST,SANTA MARIA,CA,93454,SANTA BARBARA,8057393100,Acute Care Hospitals,Voluntary non-profit - Church
54,54,50108,3,3,3,2,4,3,3,4,4,2,4,3,"SUTTER MEDICAL CENTER, SACRAMENTO",2825 CAPITOL AVENUE,SACRAMENTO,CA,SACRAMENTO,314,"SUTTER MEDICAL CENTER, SACRAMENTO",2825 CAPITOL AVENUE,SACRAMENTO,CA,95816,SACRAMENTO,9167338999,Acute Care Hospitals,Voluntary non-profit - Private
55,55,50110,3,2,1,2,3,2,4,2,2,2,2,2,LOMPOC VALLEY MEDICAL CENTER,1515 E OCEAN AVENUE,LOMPOC,CA,SANTA BARBARA,315,LOMPOC VALLEY MEDICAL CENTER,1515 E OCEAN AVENUE,LOMPOC,CA,93436,SANTA BARBARA,8057373300,Acute Care Hospitals,Government - Hospital District or Authority
56,56,50112,3,4,4,4,4,3,3,4,5,3,5,4,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,CA,LOS ANGELES,316,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,CA,90404,LOS ANGELES,3103194000,Acute Care Hospitals,Government - State
57,57,50113,3,2,3,1,3,3,2,4,3,1,3,3,SAN MATEO MEDICAL CENTER,222 W 39TH AVE,SAN MATEO,CA,SAN MATEO,317,SAN MATEO MEDICAL CENTER,222 W 39TH AVE,SAN MATEO,CA,94403,SAN MATEO,6505732222,Acute Care Hospitals,Government - Local
58,58,50115,2,3,3,2,4,3,3,4,4,2,4,3,PALOMAR HEALTH DOWNTOWN CAMPUS,555 E VALLEY PARKWAY,ESCONDIDO,CA,SAN DIEGO,318,PALOMAR HEALTH DOWNTOWN CAMPUS,555 E VALLEY PARKWAY,ESCONDIDO,CA,92025,SAN DIEGO,7607393000,Acute Care Hospitals,Government - Hospital District or Authority
59,59,50116,2,2,2,2,3,3,3,2,2,1,3,2,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,LOS ANGELES,319,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,91325,LOS ANGELES,8188858500,Acute Care Hospitals,Voluntary non-profit - Private
60,60,50118,2,3,4,3,4,4,3,3,3,2,3,3,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,SAN JOAQUIN,320,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,95336,SAN JOAQUIN,2098233111,Acute Care Hospitals,Voluntary non-profit - Other
61,61,50121,3,3,3,2,4,3,3,2,3,2,3,3,ADVENTIST MEDICAL CENTER,115 MALL DRIVE,HANFORD,CA,KINGS,321,ADVENTIST MEDICAL CENTER,115 MALL DRIVE,HANFORD,CA,93230,KINGS,2094107200,Acute Care Hospitals,Voluntary non-profit - Church
62,62,50122,2,2,2,1,2,2,3,2,2,1,2,2,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,SAN JOAQUIN,322,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,95203,SAN JOAQUIN,2099445550,Acute Care Hospitals,Voluntary non-profit - Other
63,63,50124,2,2,2,2,3,2,1,2,2,1,2,2,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,LOS ANGELES,323,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91209,LOS ANGELES,8187907100,Acute Care Hospitals,Voluntary non-profit - Private
64,64,50125,2,2,1,2,3,2,2,2,2,1,2,2,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,SAN JOSE,CA,SANTA CLARA,324,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,SAN JOSE,CA,95116,SANTA CLARA,4082595000,Acute Care Hospitals,Government - Federal
65,65,50126,3,2,1,2,3,3,3,3,3,2,3,3,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,LOS ANGELES,325,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91406,LOS ANGELES,8187826600,Acute Care Hospitals,Voluntary non-profit - Other
66,66,50127,3,3,3,2,3,4,3,4,3,1,3,3,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,YOLO,326,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,YOLO,5306623961,Acute Care Hospitals,Voluntary non-profit - Other
67,67,50128,2,2,2,2,3,3,3,2,2,1,2,2,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,SAN DIEGO,327,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,92056,SAN DIEGO,7607248411,Acute Care Hospitals,Government - Hospital District or Authority
68,68,50129,2,3,2,2,3,3,2,3,3,2,3,3,ST BERNARDINE MEDICAL CENTER,2101 N WATERMAN AVE,SAN BERNARDINO,CA,SAN BERNARDINO,328,ST BERNARDINE MEDICAL CENTER,2101 N WATERMAN AVE,SAN BERNARDINO,CA,92404,SAN BERNARDINO,9098838711,Acute Care Hospitals,Voluntary non-profit - Private
69,69,50131,3,4,4,3,4,3,3,4,4,3,4,4,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,NOVATO,CA,MARIN,329,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,NOVATO,CA,94945,MARIN,4152091300,Acute Care Hospitals,Voluntary non-profit - Other
70,70,50132,2,3,2,2,3,3,3,1,3,2,2,2,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,LOS ANGELES,330,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,LOS ANGELES,6262895454,Acute Care Hospitals,Physician
71,71,50133,1,2,1,1,2,3,1,1,1,1,1,1,RIDEOUT MEMORIAL HOSPITAL,726 4TH ST,MARYSVILLE,CA,YUBA,331,RIDEOUT MEMORIAL HOSPITAL,726 4TH ST,MARYSVILLE,CA,95901,YUBA,5307494300,Acute Care Hospitals,Voluntary non-profit - Private
72,72,50135,1,1,1,1,1,1,1,1,1,1,1,1,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVE,HOLLYWOOD,CA,LOS ANGELES,332,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVE,HOLLYWOOD,CA,90028,LOS ANGELES,3234622271,Acute Care Hospitals,Proprietary
73,73,50136,2,2,2,2,3,2,4,2,3,2,3,2,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,CA,SONOMA,333,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,CA,94954,SONOMA,7077781111,Acute Care Hospitals,Voluntary non-profit - Other
74,74,50137,3,3,3,2,4,3,2,4,4,3,4,3,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,LOS ANGELES,334,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,91402,LOS ANGELES,8183753333,Acute Care Hospitals,Voluntary non-profit - Private
75,75,50138,3,3,3,3,3,3,3,4,4,2,4,3,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BLVD,LOS ANGELES,CA,LOS ANGELES,335,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BLVD,LOS ANGELES,CA,90027,LOS ANGELES,3237834011,Acute Care Hospitals,Voluntary non-profit - Other
