,Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Score,Footnote,Measure Start Date,Measure End Date
9887,50014,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,CA,95642,AMADOR,2092237500,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
9893,50014,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,CA,95642,AMADOR,2092237500,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
9899,50014,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,CA,95642,AMADOR,2092237500,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,Better than the National Benchmark,0.186,,4/1/16,3/31/17
9905,50017,MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,CA,95819,SACRAMENTO,9164534453,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Better than the National Benchmark,0,,4/1/16,3/31/17
9911,50017,MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,CA,95819,SACRAMENTO,9164534453,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,0.654,,4/1/16,3/31/17
9917,50017,MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,CA,95819,SACRAMENTO,9164534453,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,0.579,,4/1/16,3/31/17
9923,50017,MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,CA,95819,SACRAMENTO,9164534453,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,No Different than National Benchmark,1.773,,4/1/16,3/31/17
9929,50017,MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,CA,95819,SACRAMENTO,9164534453,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,1.012,,4/1/16,3/31/17
9935,50017,MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,CA,95819,SACRAMENTO,9164534453,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,Worse than the National Benchmark,1.328,,4/1/16,3/31/17
9941,50018,PACIFIC ALLIANCE MEDICAL CENTER,531 W COLLEGE ST,LOS ANGELES,CA,90012,LOS ANGELES,2136248411,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,1.013,,4/1/16,3/31/17
9947,50018,PACIFIC ALLIANCE MEDICAL CENTER,531 W COLLEGE ST,LOS ANGELES,CA,90012,LOS ANGELES,2136248411,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,0.817,,4/1/16,3/31/17
9953,50018,PACIFIC ALLIANCE MEDICAL CENTER,531 W COLLEGE ST,LOS ANGELES,CA,90012,LOS ANGELES,2136248411,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,0,,4/1/16,3/31/17
9959,50018,PACIFIC ALLIANCE MEDICAL CENTER,531 W COLLEGE ST,LOS ANGELES,CA,90012,LOS ANGELES,2136248411,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,No Different than National Benchmark,1.963,,4/1/16,3/31/17
9965,50018,PACIFIC ALLIANCE MEDICAL CENTER,531 W COLLEGE ST,LOS ANGELES,CA,90012,LOS ANGELES,2136248411,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,1.892,,4/1/16,3/31/17
9971,50018,PACIFIC ALLIANCE MEDICAL CENTER,531 W COLLEGE ST,LOS ANGELES,CA,90012,LOS ANGELES,2136248411,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,0.989,,4/1/16,3/31/17
9977,50022,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,CA,92501,RIVERSIDE,9517883000,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,0.604,,4/1/16,3/31/17
9983,50022,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,CA,92501,RIVERSIDE,9517883000,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,1.369,,4/1/16,3/31/17
9989,50022,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,CA,92501,RIVERSIDE,9517883000,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,0.994,,4/1/16,3/31/17
9995,50022,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,CA,92501,RIVERSIDE,9517883000,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,No Different than National Benchmark,1.638,,4/1/16,3/31/17
10001,50022,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,CA,92501,RIVERSIDE,9517883000,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,1.161,,4/1/16,3/31/17
10007,50022,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,CA,92501,RIVERSIDE,9517883000,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,Worse than the National Benchmark,1.356,,4/1/16,3/31/17
10013,50024,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,SAN DIEGO,6194704321,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,0,,4/1/16,3/31/17
10019,50024,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,SAN DIEGO,6194704321,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,0,,4/1/16,3/31/17
10025,50024,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,SAN DIEGO,6194704321,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
10031,50024,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,SAN DIEGO,6194704321,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
10037,50024,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,SAN DIEGO,6194704321,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
10043,50024,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,SAN DIEGO,6194704321,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,Better than the National Benchmark,0.318,,4/1/16,3/31/17
10049,50025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,SAN DIEGO,6195436222,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,1.214,,4/1/16,3/31/17
10055,50025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,SAN DIEGO,6195436222,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,0.987,,4/1/16,3/31/17
10061,50025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,SAN DIEGO,6195436222,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,1.514,,4/1/16,3/31/17
10067,50025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,SAN DIEGO,6195436222,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,No Different than National Benchmark,2.874,,4/1/16,3/31/17
10073,50025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,SAN DIEGO,6195436222,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,1.271,,4/1/16,3/31/17
10079,50025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,SAN DIEGO,6195436222,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,0.954,,4/1/16,3/31/17
10085,50026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,SAN DIEGO,6194650711,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Better than the National Benchmark,0.412,,4/1/16,3/31/17
10091,50026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,SAN DIEGO,6194650711,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Worse than the National Benchmark,2.353,,4/1/16,3/31/17
10097,50026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,SAN DIEGO,6194650711,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,0.829,,4/1/16,3/31/17
10103,50026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,SAN DIEGO,6194650711,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
10109,50026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,SAN DIEGO,6194650711,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,1.583,,4/1/16,3/31/17
10115,50026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,SAN DIEGO,6194650711,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,Worse than the National Benchmark,1.288,,4/1/16,3/31/17
10121,50028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,HUMBOLDT,7078223621,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
10127,50028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,HUMBOLDT,7078223621,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
10133,50028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,HUMBOLDT,7078223621,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
10139,50028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,HUMBOLDT,7078223621,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
10145,50028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,HUMBOLDT,7078223621,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
10151,50028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,HUMBOLDT,7078223621,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,0.4,,4/1/16,3/31/17
10157,50030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,BUTTE,5305338500,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,0,,4/1/16,3/31/17
10163,50030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,BUTTE,5305338500,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,0.878,,4/1/16,3/31/17
10169,50030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,BUTTE,5305338500,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
10175,50030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,BUTTE,5305338500,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
10181,50030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,BUTTE,5305338500,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,0.578,,4/1/16,3/31/17
10187,50030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,BUTTE,5305338500,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,0.73,,4/1/16,3/31/17
10193,50036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST,BAKERSFIELD,CA,93301,KERN,6613271792,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,0.984,,4/1/16,3/31/17
10199,50036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST,BAKERSFIELD,CA,93301,KERN,6613271792,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,0.842,,4/1/16,3/31/17
10205,50036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST,BAKERSFIELD,CA,93301,KERN,6613271792,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,1.077,,4/1/16,3/31/17
10211,50036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST,BAKERSFIELD,CA,93301,KERN,6613271792,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
10217,50036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST,BAKERSFIELD,CA,93301,KERN,6613271792,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,1.652,,4/1/16,3/31/17
10223,50036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST,BAKERSFIELD,CA,93301,KERN,6613271792,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,0.888,,4/1/16,3/31/17
10229,50038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,SANTA CLARA,4088855000,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Worse than the National Benchmark,1.735,,4/1/16,3/31/17
10235,50038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,SANTA CLARA,4088855000,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Worse than the National Benchmark,1.861,,4/1/16,3/31/17
10241,50038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,SANTA CLARA,4088855000,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,1.47,,4/1/16,3/31/17
10247,50038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,SANTA CLARA,4088855000,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,No Different than National Benchmark,3.028,,4/1/16,3/31/17
10253,50038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,SANTA CLARA,4088855000,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,0.394,,4/1/16,3/31/17
10259,50038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,SANTA CLARA,4088855000,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,1.144,,4/1/16,3/31/17
