Provider ID,Cleanliness,Nurse_com,Doc_com,Staff_responsiveness,Pain_management,Comm_medicine,Discharge_info,Care_transition,Overall_Hos_Rating,Quietness,Recomm_hos,Summary_star,Hospital Name,Address,City,State,County Name,ZIP Code,Phone Number,Hospital Type,Hospital Ownership
50030,1,2,1,1,2,1,2,1,1,1,1,1,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,BUTTE,95966,5305338500,Acute Care Hospitals,Voluntary non-profit - Private
50036,3,2,2,2,3,3,2,2,3,2,3,2,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST,BAKERSFIELD,CA,KERN,93301,6613271792,Acute Care Hospitals,Voluntary non-profit - Private
50038,1,2,3,2,3,2,2,2,2,1,2,2,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,SANTA CLARA,95128,4088855000,Acute Care Hospitals,Government - Local
50039,3,4,3,4,4,4,4,4,5,3,4,4,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,BUTTE,95926,5303327300,Acute Care Hospitals,Voluntary non-profit - Private
50040,2,3,4,2,4,3,3,4,4,1,4,3,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,LOS ANGELES,91342,8183641555,Acute Care Hospitals,Voluntary non-profit - Other
50042,3,4,3,4,4,4,3,4,3,1,3,3,ST ELIZABETH COMMUNITY HOSPITAL,2550 SISTER MARY COLUMBA DRIVE,RED BLUFF,CA,TEHAMA,96080,5305298012,Acute Care Hospitals,Voluntary non-profit - Church
50043,2,2,3,2,3,3,3,3,3,3,4,3,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,CA,ALAMEDA,94609,5106554000,Acute Care Hospitals,Voluntary non-profit - Private
50045,3,2,2,2,3,3,2,4,2,1,2,2,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,EL CENTRO,CA,IMPERIAL,92243,7603397100,Acute Care Hospitals,Government - Local
50047,2,2,3,3,3,2,2,3,3,1,3,3,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,2333 BUCHANAN STREET,SAN FRANCISCO,CA,SAN FRANCISCO,94115,4156006000,Acute Care Hospitals,Voluntary non-profit - Private
50054,3,2,1,2,3,2,3,2,2,1,2,2,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,RIVERSIDE,92220,9518451121,Acute Care Hospitals,Government - Hospital District or Authority
50055,2,2,3,2,2,2,3,3,2,2,2,2,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,SAN FRANCISCO,94110,4156416562,Acute Care Hospitals,Voluntary non-profit - Church
50056,1,2,1,1,2,2,1,1,1,1,1,1,ANTELOPE VALLEY HOSPITAL,1600 W AVE J,LANCASTER,CA,LOS ANGELES,93534,6619495000,Acute Care Hospitals,Government - Hospital District or Authority
50057,2,3,3,3,3,3,3,2,3,2,3,3,KAWEAH DELTA MEDICAL CENTER,400 W MINERAL KING AVE,VISALIA,CA,TULARE,93291,5596242000,Acute Care Hospitals,Government - Hospital District or Authority
50058,2,2,3,2,3,3,3,4,3,2,2,3,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,GLENDALE,CA,LOS ANGELES,91204,8185021900,Acute Care Hospitals,Voluntary non-profit - Private
50060,2,3,3,2,3,3,4,2,3,2,3,3,COMMUNITY REGIONAL MEDICAL CENTER,2823 FRESNO STREET,FRESNO,CA,FRESNO,93721,5594596000,Acute Care Hospitals,Voluntary non-profit - Private
50063,1,1,1,1,1,2,1,2,1,1,1,1,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,CA,LOS ANGELES,90027,2134133000,Acute Care Hospitals,Proprietary
50067,3,2,1,3,2,1,3,3,2,1,2,2,OAK VALLEY HOSPITAL DISTRICT,350 S OAK AVE,OAKDALE,CA,STANISLAUS,95361,2098473011,Acute Care Hospitals,Government - Hospital District or Authority
50069,3,4,3,3,4,4,4,4,5,3,4,4,ST JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,ORANGE,92868,7146339111,Acute Care Hospitals,Voluntary non-profit - Church
50070,2,3,4,3,4,2,3,4,3,1,4,3,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,SAN MATEO,94080,6507423200,Acute Care Hospitals,Voluntary non-profit - Private
50071,3,3,4,2,4,3,3,4,4,2,4,3,KAISER FOUNDATION HOSPITAL-SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,SANTA CLARA,95051,4082366400,Acute Care Hospitals,Voluntary non-profit - Other
50072,3,3,3,2,4,3,3,3,3,1,4,3,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 S MAIN STREET,WALNUT CREEK,CA,CONTRA COSTA,94596,9252954000,Acute Care Hospitals,Voluntary non-profit - Other
50073,3,3,4,2,3,3,4,4,3,2,4,3,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,SOLANO,94589,7076511000,Acute Care Hospitals,Voluntary non-profit - Other
50075,2,2,3,2,3,2,3,3,3,2,4,3,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 W MACARTHUR BOULEVARD,OAKLAND,CA,ALAMEDA,94611,5107521000,Acute Care Hospitals,Voluntary non-profit - Other
50076,2,3,3,3,4,3,3,4,3,1,4,3,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,SAN FRANCISCO,CA,SAN FRANCISCO,94115,4158332646,Acute Care Hospitals,Voluntary non-profit - Other
50077,2,2,3,2,3,2,2,3,2,1,3,2,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,SAN DIEGO,92103,6192948111,Acute Care Hospitals,Voluntary non-profit - Private
50078,3,4,3,3,3,3,3,4,3,2,3,3,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,LOS ANGELES,90732,3108323311,Acute Care Hospitals,Voluntary non-profit - Private
50082,2,3,3,2,3,2,3,3,3,2,3,3,ST JOHNS REGIONAL MEDICAL CENTER,1600 N ROSE AVE,OXNARD,CA,VENTURA,93030,8059882500,Acute Care Hospitals,Voluntary non-profit - Private
50084,1,2,2,2,3,2,3,3,2,1,2,2,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 N CALIFORNIA ST,STOCKTON,CA,SAN JOAQUIN,95204,2099432000,Acute Care Hospitals,Voluntary non-profit - Church
50089,1,2,2,2,3,4,2,3,2,2,2,2,COMMUNITY HOSPITAL OF SAN BERNARDINO,1805 MEDICAL CENTER DRIVE,SAN BERNARDINO,CA,SAN BERNARDINO,92411,9098876333,Acute Care Hospitals,Voluntary non-profit - Private
50090,3,3,3,4,3,2,4,2,3,3,3,3,SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,SONOMA,CA,SONOMA,95476,7079355000,Acute Care Hospitals,Government - Hospital District or Authority
50091,2,2,1,2,2,2,2,1,2,1,2,2,COMMUNITY HOSPITAL OF HUNTINGTON PARK,2623 E SLAUSON AVE,HUNTINGTON PARK,CA,LOS ANGELES,90255,3235831931,Acute Care Hospitals,Proprietary
50093,2,2,2,2,3,2,2,2,3,2,3,2,SAINT AGNES MEDICAL CENTER,1303 E HERNDON AVE,FRESNO,CA,FRESNO,93710,5594503000,Acute Care Hospitals,Voluntary non-profit - Church
50096,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"WEST COVINA MEDICAL CENTER, INC",725 S ORANGE AVE,WEST COVINA,CA,LOS ANGELES,91790,6263388481,Acute Care Hospitals,Proprietary
50099,2,3,3,2,4,3,3,2,3,1,3,3,SAN ANTONIO REGIONAL HOSPITAL,999 SAN BERNARDINO ROAD,UPLAND,CA,SAN BERNARDINO,91786,7149852811,Acute Care Hospitals,Voluntary non-profit - Other
50100,3,4,3,4,4,3,4,4,5,4,5,4,SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,CA,SAN DIEGO,92123,8589393400,Acute Care Hospitals,Voluntary non-profit - Other
50101,2,3,2,2,3,3,3,2,2,2,2,2,SUTTER SOLANO MEDICAL CENTER,300 HOSPITAL DR,VALLEJO,CA,SOLANO,94589,7075545280,Acute Care Hospitals,Voluntary non-profit - Private
50102,1,2,1,1,2,1,2,2,1,1,1,1,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,3865 JACKSON STREET,RIVERSIDE,CA,RIVERSIDE,92503,9516882211,Acute Care Hospitals,Voluntary non-profit - Private
50103,2,3,3,2,3,2,3,2,4,2,3,3,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,LOS ANGELES,90033,3232685000,Acute Care Hospitals,Voluntary non-profit - Church
50104,1,2,1,1,2,2,1,2,1,2,2,2,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,LOS ANGELES,90262,3109008900,Acute Care Hospitals,Voluntary non-profit - Church
50107,3,3,3,3,3,4,4,4,3,3,4,3,MARIAN REGIONAL MEDICAL CENTER,1400 E CHURCH ST,SANTA MARIA,CA,SANTA BARBARA,93454,8057393100,Acute Care Hospitals,Voluntary non-profit - Church
50108,3,3,3,2,4,3,3,4,4,2,4,3,"SUTTER MEDICAL CENTER, SACRAMENTO",2825 CAPITOL AVENUE,SACRAMENTO,CA,SACRAMENTO,95816,9167338999,Acute Care Hospitals,Voluntary non-profit - Private
50110,3,2,1,2,3,2,4,2,2,2,2,2,LOMPOC VALLEY MEDICAL CENTER,1515 E OCEAN AVENUE,LOMPOC,CA,SANTA BARBARA,93436,8057373300,Acute Care Hospitals,Government - Hospital District or Authority
50112,3,4,4,4,4,3,3,4,5,3,5,4,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,CA,LOS ANGELES,90404,3103194000,Acute Care Hospitals,Government - State
50113,3,2,3,1,3,3,2,4,3,1,3,3,SAN MATEO MEDICAL CENTER,222 W 39TH AVE,SAN MATEO,CA,SAN MATEO,94403,6505732222,Acute Care Hospitals,Government - Local
50115,2,3,3,2,4,3,3,4,4,2,4,3,PALOMAR HEALTH DOWNTOWN CAMPUS,555 E VALLEY PARKWAY,ESCONDIDO,CA,SAN DIEGO,92025,7607393000,Acute Care Hospitals,Government - Hospital District or Authority
50116,2,2,2,2,3,3,3,2,2,1,3,2,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,LOS ANGELES,91325,8188858500,Acute Care Hospitals,Voluntary non-profit - Private
50118,2,3,4,3,4,4,3,3,3,2,3,3,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,SAN JOAQUIN,95336,2098233111,Acute Care Hospitals,Voluntary non-profit - Other
50121,3,3,3,2,4,3,3,2,3,2,3,3,ADVENTIST MEDICAL CENTER,115 MALL DRIVE,HANFORD,CA,KINGS,93230,2094107200,Acute Care Hospitals,Voluntary non-profit - Church
50122,2,2,2,1,2,2,3,2,2,1,2,2,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,SAN JOAQUIN,95203,2099445550,Acute Care Hospitals,Voluntary non-profit - Other
50124,2,2,2,2,3,2,1,2,2,1,2,2,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,LOS ANGELES,91209,8187907100,Acute Care Hospitals,Voluntary non-profit - Private
50125,2,2,1,2,3,2,2,2,2,1,2,2,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,SAN JOSE,CA,SANTA CLARA,95116,4082595000,Acute Care Hospitals,Government - Federal
50126,3,2,1,2,3,3,3,3,3,2,3,3,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,LOS ANGELES,91406,8187826600,Acute Care Hospitals,Voluntary non-profit - Other
50127,3,3,3,2,3,4,3,4,3,1,3,3,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,YOLO,95695,5306623961,Acute Care Hospitals,Voluntary non-profit - Other
50128,2,2,2,2,3,3,3,2,2,1,2,2,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,SAN DIEGO,92056,7607248411,Acute Care Hospitals,Government - Hospital District or Authority
50129,2,3,2,2,3,3,2,3,3,2,3,3,ST BERNARDINE MEDICAL CENTER,2101 N WATERMAN AVE,SAN BERNARDINO,CA,SAN BERNARDINO,92404,9098838711,Acute Care Hospitals,Voluntary non-profit - Private
50131,3,4,4,3,4,3,3,4,4,3,4,4,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,NOVATO,CA,MARIN,94945,4152091300,Acute Care Hospitals,Voluntary non-profit - Other
50132,2,3,2,2,3,3,3,1,3,2,2,2,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,LOS ANGELES,91776,6262895454,Acute Care Hospitals,Physician
50133,1,2,1,1,2,3,1,1,1,1,1,1,RIDEOUT MEMORIAL HOSPITAL,726 4TH ST,MARYSVILLE,CA,YUBA,95901,5307494300,Acute Care Hospitals,Voluntary non-profit - Private
50135,1,1,1,1,1,1,1,1,1,1,1,1,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVE,HOLLYWOOD,CA,LOS ANGELES,90028,3234622271,Acute Care Hospitals,Proprietary
50136,2,2,2,2,3,2,4,2,3,2,3,2,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,CA,SONOMA,94954,7077781111,Acute Care Hospitals,Voluntary non-profit - Other
50137,3,3,3,2,4,3,2,4,4,3,4,3,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,LOS ANGELES,91402,8183753333,Acute Care Hospitals,Voluntary non-profit - Private
50138,3,3,3,3,3,3,3,4,4,2,4,3,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BLVD,LOS ANGELES,CA,LOS ANGELES,90027,3237834011,Acute Care Hospitals,Voluntary non-profit - Other
50139,3,3,3,2,3,3,3,4,4,3,3,3,KAISER FOUNDATION HOSPITAL - DOWNEY,9333 IMPERIAL HIGHWAY,DOWNEY,CA,LOS ANGELES,90242,5624616007,Acute Care Hospitals,Voluntary non-profit - Other
50140,3,3,3,3,4,3,3,4,4,3,4,3,KAISER FOUNDATION HOSPITAL FONTANA,9961 SIERRA AVE,FONTANA,CA,SAN BERNARDINO,92335,9094275500,Acute Care Hospitals,Voluntary non-profit - Private
50145,4,4,4,3,3,3,3,4,4,3,5,4,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W R HOLMAN HIGHWAY,MONTEREY,CA,MONTEREY,93940,8316245311,Acute Care Hospitals,Voluntary non-profit - Private
50149,1,2,1,1,2,3,2,2,2,1,2,2,CALIFORNIA HOSPITAL MEDICAL CENTER LA,1401 SOUTH GRAND AVENUE,LOS ANGELES,CA,LOS ANGELES,90015,2137482411,Acute Care Hospitals,Voluntary non-profit - Other
50150,3,3,3,2,4,4,4,3,2,2,2,3,SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,GRASS VALLEY,CA,NEVADA,95945,5302746000,Acute Care Hospitals,Voluntary non-profit - Other
50152,2,2,3,2,3,2,3,4,3,1,3,3,SAINT FRANCIS MEMORIAL HOSPITAL,900 HYDE ST,SAN FRANCISCO,CA,SAN FRANCISCO,94109,4153536000,Acute Care Hospitals,Voluntary non-profit - Private
50153,2,3,3,2,3,2,2,3,3,1,3,3,O'CONNOR HOSPITAL,2105 FOREST AVENUE,SAN JOSE,CA,SANTA CLARA,95128,4089472500,Acute Care Hospitals,Voluntary non-profit - Church
50158,3,3,3,3,4,3,2,2,3,1,2,3,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BLVD,ENCINO,CA,LOS ANGELES,91436,8189955000,Acute Care Hospitals,Proprietary
50159,2,2,3,2,3,2,2,3,2,1,2,2,VENTURA COUNTY MEDICAL CENTER,300 HILLMONT AVENUE,VENTURA,CA,VENTURA,93003,8056526075,Acute Care Hospitals,Government - Local
50167,1,2,2,1,2,2,2,2,2,1,2,2,SAN JOAQUIN GENERAL HOSPITAL,500 W HOSPITAL ROAD,FRENCH CAMP,CA,SAN JOAQUIN,95231,2094686000,Acute Care Hospitals,Government - Local
50168,3,4,3,3,4,4,4,4,5,3,4,4,ST JUDE MEDICAL CENTER,101 E VALENCIA MESA DRIVE,FULLERTON,CA,ORANGE,92835,7149923000,Acute Care Hospitals,Voluntary non-profit - Church
50169,3,4,3,3,4,3,4,4,5,3,5,4,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,12401 WASHINGTON BLVD,WHITTIER,CA,LOS ANGELES,90602,5266980811,Acute Care Hospitals,Voluntary non-profit - Private
50174,2,2,3,2,3,2,4,2,3,1,3,3,SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR,SANTA ROSA,CA,SONOMA,95405,7075255300,Acute Care Hospitals,Voluntary non-profit - Private
50179,2,2,1,2,3,3,3,2,2,1,2,2,EMANUEL MEDICAL CENTER,825 DELBON AVE,TURLOCK,CA,STANISLAUS,95382,2096674200,Acute Care Hospitals,Voluntary non-profit - Church
50180,3,4,3,3,3,3,3,4,4,3,4,3,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY RD,WALNUT CREEK,CA,CONTRA COSTA,94598,9259393000,Acute Care Hospitals,Voluntary non-profit - Other
50189,4,3,3,2,3,2,2,2,2,2,1,2,GEORGE L MEE MEMORIAL HOSPITAL,300 CANAL STREET,KING CITY,CA,MONTEREY,93930,8313856000,Acute Care Hospitals,Voluntary non-profit - Other
50191,3,2,2,1,3,3,3,2,2,1,2,2,ST MARY MEDICAL CENTER,1050 LINDEN AVE,LONG BEACH,CA,LOS ANGELES,90813,5624919000,Acute Care Hospitals,Voluntary non-profit - Church
50192,2,2,4,2,3,3,3,2,3,2,3,3,ADVENTIST MEDICAL CENTER - REEDLEY,372 W CYPRESS AVE,REEDLEY,CA,FRESNO,93654,5596388155,Acute Care Hospitals,Voluntary non-profit - Private
50194,3,2,3,2,3,2,3,2,3,2,2,2,WATSONVILLE COMMUNITY HOSPITAL,75 NIELSON STREET,WATSONVILLE,CA,SANTA CRUZ,95076,8317244741,Acute Care Hospitals,Proprietary
50195,4,3,3,3,4,3,3,4,3,2,3,3,WASHINGTON HOSPITAL,2000 MOWRY AVE,FREMONT,CA,ALAMEDA,94538,5107971111,Acute Care Hospitals,Government - Hospital District or Authority
50197,3,4,4,3,4,3,3,4,4,3,4,4,SEQUOIA HOSPITAL,170 ALAMEDA DE LAS PULGAS,REDWOOD CITY,CA,SAN MATEO,94062,6503675551,Acute Care Hospitals,Voluntary non-profit - Private
50204,3,4,2,3,4,3,3,3,4,4,3,3,PALMDALE REGIONAL MEDICAL CENTER,38600 MEDICAL CENTER DRIVE,PALMDALE,CA,LOS ANGELES,93552,6613825000,Acute Care Hospitals,Proprietary
50205,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,EAST VALLEY GLENDORA HOSPITAL,150 WEST ROUTE 66,GLENDORA,CA,LOS ANGELES,91740,6263350231,Acute Care Hospitals,Proprietary
50211,3,2,3,2,3,2,2,2,3,1,2,2,ALAMEDA HOSPITAL,2070 CLINTON AVENUE,ALAMEDA,CA,ALAMEDA,94501,5105223700,Acute Care Hospitals,Government - Hospital District or Authority
50222,3,3,3,3,4,3,4,4,3,1,3,3,SHARP CHULA VISTA MEDICAL CENTER,751 MEDICAL CENTER COURT,CHULA VISTA,CA,SAN DIEGO,91911,6195025800,Acute Care Hospitals,Proprietary
50224,3,3,3,2,4,3,3,4,4,3,4,3,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,ORANGE,92663,9497644624,Acute Care Hospitals,Voluntary non-profit - Private
50225,3,3,2,3,4,2,4,4,3,1,4,3,FEATHER RIVER HOSPITAL,5974 PENTZ ROAD,PARADISE,CA,BUTTE,95969,5308779361,Acute Care Hospitals,Voluntary non-profit - Church
50226,2,3,2,3,3,3,2,2,3,2,2,3,AHMC ANAHEIM REGIONAL MEDICAL CENTER,1111 W LA PALMA AVENUE,ANAHEIM,CA,ORANGE,92801,7147741450,Acute Care Hospitals,Voluntary non-profit - Private
50228,3,2,3,2,3,3,3,3,3,3,3,3,SAN FRANCISCO GENERAL HOSPITAL,1001 POTRERO AVENUE,SAN FRANCISCO,CA,SAN FRANCISCO,94110,4152068000,Acute Care Hospitals,Government - Local
50230,1,2,2,2,3,2,2,1,2,2,2,2,GARDEN GROVE HOSPITAL & MEDICAL CENTER,12601 GARDEN GROVE BLVD,GARDEN GROVE,CA,ORANGE,92843,7145375160,Acute Care Hospitals,Proprietary
50231,2,2,2,2,3,3,3,2,3,1,3,2,POMONA VALLEY HOSPITAL MEDICAL CENTER,1798 N GAREY AVE,POMONA,CA,LOS ANGELES,91767,9098659500,Acute Care Hospitals,Voluntary non-profit - Private
50232,2,4,3,3,4,4,5,4,4,1,4,4,FRENCH HOSPITAL MEDICAL CENTER,1911 JOHNSON AVE,SAN LUIS OBISPO,CA,SAN LUIS OBISPO,93401,8055435353,Acute Care Hospitals,Voluntary non-profit - Other
50234,4,4,4,4,4,4,4,4,4,4,4,4,SHARP CORONADO HOSPITAL AND HLTHCR CTR,250 PROSPECT PLACE,CORONADO,CA,SAN DIEGO,92118,6194356251,Acute Care Hospitals,Proprietary
50235,3,3,3,2,4,2,2,3,4,2,4,3,PROVIDENCE SAINT JOSEPH MEDICAL CTR,501 SOUTH BUENA VISTA,BURBANK,CA,LOS ANGELES,91505,8188435111,Acute Care Hospitals,Voluntary non-profit - Church
50236,3,2,2,2,3,2,2,2,3,2,3,2,ADVENTIST HEALTH SIMI VALLEY,2975 N SYCAMORE DR,SIMI VALLEY,CA,VENTURA,93065,8059556000,Acute Care Hospitals,Voluntary non-profit - Church
50238,3,3,3,2,3,3,3,3,4,2,4,3,METHODIST HOSPITAL OF SOUTHERN CA,300 W HUNTINGTON DR,ARCADIA,CA,LOS ANGELES,91006,6264454441,Acute Care Hospitals,Voluntary non-profit - Private
50239,2,3,3,3,3,3,4,2,4,3,4,3,GLENDALE ADVENTIST MEDICAL CENTER,1509 E WILSON TERRACE,GLENDALE,CA,LOS ANGELES,91206,8184098202,Acute Care Hospitals,Voluntary non-profit - Private
50242,2,2,3,2,3,2,3,3,2,1,2,2,DOMINICAN HOSPITAL,1555 SOQUEL DRIVE,SANTA CRUZ,CA,SANTA CRUZ,95065,8314627700,Acute Care Hospitals,Proprietary
50243,1,2,3,2,3,2,3,2,3,1,3,2,DESERT REGIONAL MEDICAL CENTER,1150 NORTH INDIAN CANYON DRIVE,PALM SPRINGS,CA,RIVERSIDE,92262,7603236511,Acute Care Hospitals,Proprietary
50245,1,3,2,2,3,3,2,3,3,2,3,3,ARROWHEAD REGIONAL MEDICAL CENTER,400 NORTH PEPPER AVENUE,COLTON,CA,SAN BERNARDINO,92324,9095801000,Acute Care Hospitals,Government - Local
50248,2,2,3,2,3,4,4,2,3,1,3,3,NATIVIDAD MEDICAL CENTER,1441 CONSTITUTION BOULEVARD,SALINAS,CA,MONTEREY,93906,8317554195,Acute Care Hospitals,Government - Hospital District or Authority
50254,4,4,4,4,4,4,2,4,4,2,4,4,MARSHALL MEDICAL CENTER,1100 MARSHALL WAY,PLACERVILLE,CA,EL DORADO,95667,5306221441,Acute Care Hospitals,Voluntary non-profit - Private
50257,2,2,1,2,2,2,2,1,1,1,2,2,GOOD SAMARITAN HOSPITAL,901 OLIVE DRIVE,BAKERSFIELD,CA,KERN,93308,6613994461,Acute Care Hospitals,Proprietary
